b0: 26
b: {  26, }
a: {  10, }
IN	s[0]	s[1]	OUT
0	0	0	0
19	19	0	7
0	2	19	7
51	51	2	20
0	7	51	22
63	64	7	28
-1	9	64	29
51	52	9	24
-1	7	52	23
19	20	7	10
-1	2	20	8
-20	-20	2	-9
-1	-5	-20	-12
-52	-53	-5	-25
-1	-10	-53	-27
-64	-66	-10	-32
0	-11	-66	-32
-52	-54	-11	-27
0	-9	-54	-26
-20	-22	-9	-13
0	-4	-22	-11
19	18	-4	5
0	2	18	7
51	51	2	20
0	7	51	22
63	64	7	28
-1	9	64	29
51	52	9	24
-1	7	52	23
19	20	7	10
-1	2	20	8
-20	-20	2	-9
-1	-5	-20	-12
-52	-53	-5	-25
-1	-10	-53	-27
-64	-66	-10	-32
0	-11	-66	-32
-52	-54	-11	-27
0	-9	-54	-26
-20	-22	-9	-13
0	-4	-22	-11
19	18	-4	5
0	2	18	7
51	51	2	20
0	7	51	22
63	64	7	28
0	10	64	30
51	52	10	25
-1	7	52	23
19	20	7	10
0	3	20	9
-20	-20	3	-8
-1	-5	-20	-12
-52	-53	-5	-25
-1	-10	-53	-27
-64	-66	-10	-32
0	-11	-66	-32
-52	-54	-11	-27
0	-9	-54	-26
-20	-22	-9	-13
0	-4	-22	-11
19	18	-4	5
0	2	18	7
51	51	2	20
0	7	51	22
63	64	7	28
0	10	64	30
51	52	10	25
-1	7	52	23
19	20	7	10
-1	2	20	8
-20	-20	2	-9
-1	-5	-20	-12
-52	-53	-5	-25
-1	-10	-53	-27
-64	-66	-10	-32
0	-11	-66	-32
-52	-54	-11	-27
0	-9	-54	-26
-20	-22	-9	-13
0	-4	-22	-11
19	18	-4	5
0	2	18	7
51	51	2	20
0	7	51	22
63	64	7	28
-1	9	64	29
51	52	9	24
-1	7	52	23
19	20	7	10
-1	2	20	8
-20	-20	2	-9
0	-4	-20	-11
-52	-53	-4	-24
0	-9	-53	-26
-64	-66	-9	-31
0	-11	-66	-32
-52	-54	-11	-27
-1	-10	-54	-27
-20	-22	-10	-14
-1	-5	-22	-12
19	18	-5	4
0	2	18	7
51	51	2	20
-1	6	51	22
63	63	6	27
-1	8	63	28
51	52	8	24
-1	7	52	23
19	20	7	10
-1	2	20	8
-20	-20	2	-9
-1	-5	-20	-12
-52	-53	-5	-25
-1	-10	-53	-27
-64	-66	-10	-32
-1	-12	-66	-32
-52	-54	-12	-27
-1	-10	-54	-27
-20	-22	-10	-14
0	-4	-22	-11
19	18	-4	5
-1	1	18	7
51	51	1	20
0	7	51	22
63	64	7	28
0	10	64	30
51	52	10	25
0	8	52	24
19	20	8	11
-1	2	20	8
-20	-20	2	-9
0	-4	-20	-11
-52	-53	-4	-24
0	-9	-53	-26
-64	-66	-9	-31
0	-11	-66	-32
-52	-54	-11	-27
-1	-10	-54	-27
-20	-22	-10	-14
0	-4	-22	-11
19	18	-4	5
0	2	18	7
51	51	2	20
0	7	51	22
63	64	7	28
-1	9	64	29
51	52	9	24
-1	7	52	23
19	20	7	10
0	3	20	9
-20	-20	3	-8
-1	-5	-20	-12
-52	-53	-5	-25
-1	-10	-53	-27
-64	-66	-10	-32
-1	-12	-66	-32
-52	-54	-12	-27
0	-9	-54	-26
-20	-22	-9	-13
0	-4	-22	-11
19	18	-4	5
-1	1	18	7
51	51	1	20
0	7	51	22
63	64	7	28
0	10	64	30
51	52	10	25
0	8	52	24
19	20	8	11
-1	2	20	8
-20	-20	2	-9
-1	-5	-20	-12
-52	-53	-5	-25
0	-9	-53	-26
-64	-66	-9	-31
0	-11	-66	-32
-52	-54	-11	-27
0	-9	-54	-26
-20	-22	-9	-13
0	-4	-22	-11
19	18	-4	5
0	2	18	7
51	51	2	20
-1	6	51	22
63	63	6	27
-1	8	63	28
51	52	8	24
0	8	52	24
19	20	8	11
0	3	20	9
-20	-20	3	-8
-1	-5	-20	-12
-52	-53	-5	-25
0	-9	-53	-26
-64	-66	-9	-31
-1	-12	-66	-32
-52	-54	-12	-27
0	-9	-54	-26
-20	-22	-9	-13
-1	-5	-22	-12
